Type de changement	 Fichier non corrigé	 Fichier corrigé	 Mots du fichier non corrigé remplacés dans le fichier corrigé	 Mots remplaçants dans le fichier corrigé	
equal 	   EN_non_corr_lg_9.csv[0:13]	 EN_corr_lg_9.csv[0:13]	 ['"Poesies', 'DE', 'Valentin', '"', 'HENRI', 'PUBLIEES', 'MM. T. LAROUSSILHE', '"Passage Choiseul', 'PARIS', 'J. GIRMA', 'LIBRAIRE', '24"', '"Boulevard Gambetta']	 ['"Poesies', 'DE', 'Valentin', '"', 'HENRI', 'PUBLIEES', 'MM. T. LAROUSSILHE', '"Passage Choiseul', 'PARIS', 'J. GIRMA', 'LIBRAIRE', '24"', '"Boulevard Gambetta']
replace	   EN_non_corr_lg_9.csv[13:14]	 EN_corr_lg_9.csv[13:14]	 ['GAHORS']	 ['CAHORS']
equal 	   EN_non_corr_lg_9.csv[14:15]	 EN_corr_lg_9.csv[14:15]	   ['M"']	 ['M"']
replace	   EN_non_corr_lg_9.csv[15:16]	 EN_corr_lg_9.csv[15:18]	 ['"DCCC LXXXV']	 ['DCCC', '"Poésies de valentin', 'JUSTIFICATION DU TIRAGE']
equal 	   EN_non_corr_lg_9.csv[16:28]	 EN_corr_lg_9.csv[18:30]	 ['"', 'Papier vélin teinté', 'Papier de Hollande', '"Honore fils CAHORS', 'Poesies', 'DE', 'Valentin"', 'HENRI', 'PUBLIÉES', '"Passage Choiseul', 'PARIS', 'J. GIRMA']	 ['"', 'Papier vélin teinté', 'Papier de Hollande', '"Honore fils CAHORS', 'Poesies', 'DE', 'Valentin"', 'HENRI', 'PUBLIÉES', '"Passage Choiseul', 'PARIS', 'J. GIRMA']
replace	   EN_non_corr_lg_9.csv[28:29]	 EN_corr_lg_9.csv[30:32]	    ['"']	 ['LIBRAIRE', '24"']
equal 	   EN_non_corr_lg_9.csv[29:31]	 EN_corr_lg_9.csv[32:34]	 ['"Boulevard Gambetta', 'CAHORS']	 ['"Boulevard Gambetta', 'CAHORS']
replace	   EN_non_corr_lg_9.csv[31:34]	 EN_corr_lg_9.csv[34:37]	 ['M"', 'DCCC', 'CAHORS']	 ['M DCCC"', '"Notice biographique', 'CAHORS"']
equal 	   EN_non_corr_lg_9.csv[34:36]	 EN_corr_lg_9.csv[37:39]	 ['Valentin', '"Henri']	 ['Valentin', '"Henri']
replace	   EN_non_corr_lg_9.csv[36:37]	 EN_corr_lg_9.csv[39:40]	 ['Bourette"']	 ['Boulette"']
equal 	   EN_non_corr_lg_9.csv[37:92]	 EN_corr_lg_9.csv[40:95]	 ['la France', 'Contributions', 'Quercy', 'Valette', 'Lycée de', 'Cahors', '"NOTICE BIOGRAPHIQUE', 'franchir les limites."', 'Réformateur du Lot', '"Molière,', 'Racine"', 'Alfred de Musset', 'Lamartine', '"Barbier,', 'Shakespeare"', 'Milton', 'Dante', '"Le Tasse, son', 'père"', 'France', 'l’Afrique', 'Valentin', 'NOTICE BIOGRAPHIQUE III', 'Valentin', 'Valentin', 'Algérie', '"IV NOTICE BIOGRAPHIQUE', 'des inoffensives"', 'Muse', 'Afrique', 'Silo', 'A', 'Marseille', 'de France', '"Valentin', 'avait"', '"NOTICE BIOGRAPHIQUE V', '"', 'Afrique', 'Afrique', '"Cour', 'd’appel de Saint-Denis"', 'Réunion', '"Cahors.', 'Valentin"', 'Bordeaux', 'Cahors', '"VI NOTICE BIOGRAPHIQUE', '"', 'M. H. Valette', 'M. Delpérier', 'Réformateur du Lot', 'Mme Guilhou', 'M. Escoffier', 'Finances']	 ['la France', 'Contributions', 'Quercy', 'Valette', 'Lycée de', 'Cahors', '"NOTICE BIOGRAPHIQUE', 'franchir les limites."', 'Réformateur du Lot', '"Molière,', 'Racine"', 'Alfred de Musset', 'Lamartine', '"Barbier,', 'Shakespeare"', 'Milton', 'Dante', '"Le Tasse, son', 'père"', 'France', 'l’Afrique', 'Valentin', 'NOTICE BIOGRAPHIQUE III', 'Valentin', 'Valentin', 'Algérie', '"IV NOTICE BIOGRAPHIQUE', 'des inoffensives"', 'Muse', 'Afrique', 'Silo', 'A', 'Marseille', 'de France', '"Valentin', 'avait"', '"NOTICE BIOGRAPHIQUE V', '"', 'Afrique', 'Afrique', '"Cour', 'd’appel de Saint-Denis"', 'Réunion', '"Cahors.', 'Valentin"', 'Bordeaux', 'Cahors', '"VI NOTICE BIOGRAPHIQUE', '"', 'M. H. Valette', 'M. Delpérier', 'Réformateur du Lot', 'Mme Guilhou', 'M. Escoffier', 'Finances']
